cve_id,cpu_quarter,cpu_url,product_family,component,cvss_version,base_score,attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality,integrity,availability,access_vector,access_complexity,authentication,package_privilege,protocol,remote_exploit,affected_versions,notes
CVE-2025-66516,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Commerce,Workbench (Apache Tika),3.1,10.0,Network,Low,None,None,Changed,High,High,High,,,,,HTTP,Yes,11.4.0,
CVE-2025-66516,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Communications,Security (Apache Tika),3.1,10.0,Network,Low,None,None,Changed,High,High,High,,,,,HTTP,Yes,"7.5.0, 8.0.0",
CVE-2025-66516,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Fusion Middleware,Runtime Engine (Apache Tika),3.1,10.0,Network,Low,None,None,Changed,High,High,High,,,,,HTTP,Yes,"12.2.1.4.0, 14.1.2.0.0",
CVE-2026-21962,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Fusion Middleware,"Weblogic Server Proxy Plug-in for Apache HTTP Server, Weblogic Server Proxy Plug-in for IIS",3.1,10.0,Network,Low,None,None,Changed,High,High,None,,,,,HTTP,Yes,"12.2.1.4.0, 14.1.1.0.0, 14.1.2.0.0",See Note 1
CVE-2025-66516,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Fusion Middleware,Third Party (Apache Tika),3.1,10.0,Network,Low,None,None,Changed,High,High,High,,,,,HTTP,Yes,"12.2.1.4.0, 14.1.2.0.0",
CVE-2025-66516,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle PeopleSoft,OpenSearch (Apache Tika),3.1,10.0,Network,Low,None,None,Changed,High,High,High,,,,,HTTP,Yes,"8.60, 8.61, 8.62",
CVE-2025-49844,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Communications,Infrastructure (valkey),3.1,9.9,Network,Low,Low,None,Changed,High,High,High,,,,,HTTP,No,5.2,
CVE-2021-43113,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Construction and Engineering,Reports (iTextPDF),3.1,9.8,Network,Low,None,None,Un- changed,High,High,High,,,,,HTTPS,Yes,"21.12.0-21.12.17, 22.12.0-22.12.15, 23.12.0-23.12.16, 24.12.0-24.12.12, 25.12.0",
CVE-2025-54988,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Fusion Middleware,Oracle Business Rules (Apache Commons Compress),3.1,9.8,Network,Low,None,None,Un- changed,High,High,High,,,,,HTTP,Yes,14.1.2.0.0,
CVE-2025-4949,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Fusion Middleware,Security (Eclipse JGit),3.1,9.8,Network,Low,None,None,Un- changed,High,High,High,,,,,HTTP,Yes,14.1.2.0.0,
CVE-2025-4949,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Fusion Middleware,Oracle Database Client for Fusion Middleware (Eclipse JGit),3.1,9.8,Network,Low,None,None,Un- changed,High,High,High,,,,,Multiple,Yes,14.1.2.0.0,
CVE-2025-54874,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle Fusion Middleware,Core (OpenJPEG),3.1,9.8,Network,Low,None,None,Un- changed,High,High,High,,,,,HTTP,Yes,"8.5.7, 8.5.8",
CVE-2024-52046,2026-Q1,https://www.oracle.com/security-alerts/cpujan2026.html,Oracle HealthCare Applications,XAD-PID Change Management XPID (Apache Mina),3.1,9.8,Network,Low,None,None,Un- changed,High,High,High,,,,,SSH,Yes,4.0.0,
